BookAbbrev	Chapter:Verse	Annotation	Source
Jb	41:14	Angels with reuerent feare doe honour Gods power.	scan-pdf
Jb	41:16	And valient mariners and other soldiers are terrified when they see this so huge a fish. Mystically, Gods preachares & perfected seruants shal naturally feare the terrour of Gods iudgement.	scan-pdf
Jb	41:25	And the diuel reigneth ouer proud men. S. Greg. ii. 34. 6. 4. & 77.	scan-pdf
Jb	42:1	Iob here simply acknowledged his errour in speaking so much in defence of his owne innocencie, & so litle of Gods prouidence in afflicting him, for his more merite, & Gods more glorie.	scan-pdf
Jb	42:6	Before he defended a truth against his opposite freinds, now with more resignation he contented himselfe with his affliction.	scan-pdf
Jb	42:7	God by his sentence condemned the errour of Iobs freinds, and iustified his assertion.	scan-pdf
Jb	42:8	Prayers of holy men or Saints derogate not from Christ.	scan-pdf
Jb	42:10	Iob did penaunce both for himselfe and others.	scan-pdf
Jb	42:12	In that he had al other things double, and children in the same number as before, it is a signe that the former perished not, but died in good state.	scan-pdf
Prv	1:2	VVifdom.) As wel in thefe Sapiential books,as in other holie Scriptures, and sacred writers, the word wifdom hath three fignifications. Sometimes it importeth the Diuine Attribute called Gods wifdom; fometimes fupernatural wifdom giuen to men by the Holie Ghoft; and fometimes it fignifieth mere humane wifdom, gotten by the natural light of reafon and mans induftrie. The firft, as likewife other Diuine Attributes, Gods Power, Goodnes, Iuftic:, Truth, Mercie, and the like, are not qualities, or other accidents in God, as the fame termes fignifie in creatures, but his Diuine Subftance and Effence, whofe diuers Excellencies are called by fuch names as mans capacitie can better conceiue: and fo Gods wifdom is God himfelfe: and is appropriated to the fecond Perfon of the bleffed Trinitie, as Power is approprieted to God the Father, and Goodnes ro the Holie Ghoft.	scan-pdf
Prv	1:24	Because I called and you refused.) God voutfaffeth foure benefits of grace to euerie man, al neceffarie and fufficient for his faluation: 1. He calleth al by preaching, or good infpiration. 2. He offereth help. 3. He inftructeth the ignorant what is good, that they may choofe it if they wil. 4. And reprehendeth euil, that they may fhun it. They therfore that neglect this manifold grace in this life, fhal without al remedie be damned, being too late to repent in the other world. For then they fhal crie and not be heard.	scan-pdf
Prv	1:33	But he that heareth me.) Contrariwise thofe that accept Gods grace, and cooperate therewith, fhal haue eternal reft and ioy.	scan-pdf
Prv	2:13	VVho leaue the right vvay.) Generally this defcription of wicked men, agreeth to al that commit and perift in mortal finne; but moft efpecially fheweth the properties of heretikes: who forfake the direct, ancient, beaten, knowne way of the Catholike Church, and teach new obfcure doctrines, not heard of, or not approued in forefathers time. Secondly they glorie in their owne deuifes, and reioyce in moft wicked things. Thirdly Herefie tempereth her words to pleafe the itching eares of her auditorie. Fourthly thofe that doe enter into errour of herefie, fhal not returne; that is, very hardly and rarely returne into the right way of life.	scan-pdf
Prv	3:12	For whom our Lord loueth he chafticeth: and as a father in the fonne he pleafeth himfelf.	scan-pdf
Prv	4:7	The firft part of wifdom is to defire it. For nothing hindereth from being iuft but that iuftice is not defired. S. Aug. in Pfal. 118.v.20.	scan-pdf
Prv	4:23	As the hart is the principal part of the bodie, fo the wil is the chiefeft power of the foule: from which good or euil proceedeth.	scan-pdf
Prv	5:3	By woman is generally vnderftood concupifcence of what finne foeuer.	scan-pdf
Prv	6:1	The wifman doth not abfolutely difwade from al manner of furetifhip, but from rafh, or vnaduifedly anfwering for others. And efpecially exhorteth to vfe al diligence in performing, or caufing others to performe that which is promifed or couenanted.	scan-pdf
Prv	6:12	Euerie one that finneth witingly and of malice, refufing to obey God, imploueth his mouth, eies, feete, hands, and al parts with a wicked hart and intention to peruerte others: moft proper to heretikes, apoftates from the faith.	scan-pdf
Prv	6:16	The former fix are al damnable, but this feuenth is moft deteftable, becaufe it is oppofite to the chief vertue charitie, it breaketh vnitie, & is the proper finne of the diuel.	scan-pdf
Prv	6:27	Aboccafios of finne, efpecially probable, are to be fhunned.	scan-pdf
Prv	6:30	Theft is alfo mortal finne againft the feuenth commandment, but not fo great as adulterie.	scan-pdf
Prv	7:21	Sinners after confent giuen to temptations are as inconfiderate of their owne ftate, and of their peril and ruine, as an oxe when he is ledde to the fhamles, or a bird allured with a bate, that flyeth into the fnare or net.	scan-pdf
Prv	8:1	True wifdom directing to good life & fo to eternal faluation, is only found in the vifible Church ftanding vpon a mountaine, not hidde in corners or obfcure places.	scan-pdf
Prv	8:12	Thefe fingular praifes perteine to the increated wifdom, God himfelf, from whom wifdom giuen to men by the Holie Ghoft.	scan-pdf
Prv	8:31	God much preferreth man before al other corporal creatures.	scan-pdf
Prv	9:1	VVifdom hath built herfelf a houfe.) According to the literal fenfe, wherin the myftical is grounded (both intended by the Holie Ghoft) Wifdome which is God himfelf, Creatour & Conferuer of al things, whofe fpecial good pleafure and delight is to be with men, built his houfe the Church, firft in the Patriarchs, Priefts, Prophets, and his other faithful feruants in the old Teftament. And in the Allegorical fenfe, the fame diuine increated Wifdome, the fecond Perfon in the B. Trinitie, the Diuine WORD coeternal to the Father, built himfelf a houfe, his humane bodie in the Virgins womb, and therunto adioyncd the members, his myftical bodie the Church, immolated victims of Martyrs, prepared the Table in breade and wine, where alfo appeareth his Priefthood; according to the Order of Melchifedec. As S. Auguftin expoundeth this paffage, li.17, c.20. de ciuit.	scan-pdf
Prv	9:4	Where is no hope of amendment prudence directeth vs not to admonifh, nor rebuke finners, left without anie fruite we procure emnitie; charitie alfo requireth rather to expect better opportunity.	scan-pdf
Prv	14:12	A way which feemeth iuft.) If anie Iewes, Turkes, or Heretikes lead a moral good life in this world, it feemeth both to themfelues, and to other rude people, that they are in a right way of faluation, but their errour in faith leadeth them to eternal damnation.	scan-pdf
Prv	14:30	Health of the hart.) As foundnes of the hart conferneth the reft of the fame bodie in life, fo a pure intention often excufeth from mortal finne, as in errours committed of probable, nor of groffe, nor affected ignorance. But fecret enuie in the hart infecteth and putrifieth mans actions, and deftroyeth the worke that feemed good.	scan-pdf
Prv	16:1	It perteineth to man to prepare the hart.) For the better vnderftanding of this and other hard places of Holie Scripture, this general rule, euer approued by al Chriftians, is moft neceffarie: That al holie Scripture is true and certaine, as being al indited by the Holie Ghoft, the Spirite of truth. And fo S. Auguftin, and other Fathers teach, that the wifeman here affirmeth not, that man of himfelf can prepare his hart, or begin a good worke, but that it perteineth to man to prepare his hart, prefuppofing helpe of Gods grace, and hauing fo begun, God alfo gouerneth the tongue, and by more grace directeth it to fpeake thofe things wel, which the hart purpofed.	scan-pdf
Prv	24:16	Seuentimes fhal the iuft fal.) A iuft man, that is to fay, Gods true feruant, free from mortal finne, is fubiect during this life to manie tentations, imperfections, and may often fal into venial finnes, and not lofe iuftice, nor the true title of a iuft man, nor become the diuels feruant, nor Gods enemie: but therby through Gods grace helping his weaknes, he rifeth againe from venial finnes, ftil perferuering in Gods fauour.	scan-pdf
Prv	30:1	The words of the Gatherer.) Some Interpreters take thefe foure Hebrew words, Agur, Iache, Ithiel, and Vcal, conteined in this firft verfe, to be proper names of men. But the old Interpreter, whom S. Ierom approueth and foloweth, tranflated the fame words as noones appellatiues. And therefore we thinke it more probable, with S. Beda, and the common opinion, that there was no other auctor of anie part of this booke, befides King Salomon.	scan-pdf
Prv	30:23	A bond-woman when fhe fhal be heyre.) Of al things in this world, it feemeth moft abfurde, that herefie doth dominiere ouer Catholike religion; which God fometimes, and in fome places fuffereth, for the greater merite of his elect.	scan-pdf
Eccl	1:18	How much more anie man profiteth in Wifdom, fo much more he is angrie with himfelf, for the euils which he hath done: fo much better he knoweth the ftrict iudgement of God, which he muft paffe: fo much more he vnderftandeth the want of perfect wifdom: fo much more he feeteth that labour is required to proceede in vertue: and to conferue that fmal portion which he hath gotten.	scan-pdf
Eccl	4:9	It is better that two be together.) Befides the commendation of charitie, and freindship amongft men, S. Ierom expoundeth it alfo of the neceffitie of Chrifts dwelling in mans foule, & of his continual affifting grace: that man alone lie not open to the deicepts of the aduerfarie. S. Ierom teacheth, that neither can man without Chrift refift tentations, nor rife from anie finne in this life, or in the next: neither wil Chrift without mans confent and endeauour, ftay him from falling, nor raife him vp being fallen.	scan-pdf
Eccl	7:2	The 2. part. True felicitie is procured by good life, and confifteth in the eternal fight of God.	scan-pdf
Eccl	7:4	Anger rightly vfed, is commendable & beneficial to correct our owne faults and others.	scan-pdf
Eccl	7:9	But haftie, or immoderate anger is finful and hurtful.	scan-pdf
Eccl	7:12	Likewife moderate riches profite the feruants of God, fo that they fette not their mind vpon them.	scan-pdf
Eccl	7:27	Mans reafon which is the fuperiour part of his foule, rarely thinketh good.	scan-pdf
Eccl	7:29	God made man right.	scan-pdf
Eccl	8:1	As probable coniecture of a mans inward difpofition is made by his exteriour countenance: fo his good workes fhining before men are good figne of internal vertues which indeed are right and meritorious, when the intention is fincere, referring al to Gods glorie & edification of others, without defire of vaine praife in the world.	scan-pdf
Eccl	8:14	By this terme (vanitie) is ftil vnderftood that felicitie is not in profperous things of this world: neither are al men miferable, that fuffer aduerfitie.	scan-pdf
